                              name                               |                                domain                                 | count_for_domain 
 Miscusi                                                         | miscusi.com                                                           |                2
 Common Grounds                                                  | commongroundsdubai.com                                                |                2
 Sticks'n'Sushi Covent Garden                                    | sticksnsushi.com                                                      |                2
 Chucs                                                           | chucsrestaurants.com                                                  |                2
 Las Iguanas                                                     | iguanas.co.uk                                                         |                2
 C London                                                        | crestaurant.co.uk                                                     |                2
 EL&N London                                                     | elnlondon.co.uk                                                       |                2
 The Collab                                                      | thecollablondon.com                                                   |                2
 Ferdi                                                           | ferdi-restaurant.com                                                  |                2
 Bagel Factory                                                   | bagelfactory.co.uk                                                    |                2
 Wild Bean Cafe                                                  | bp.com                                                                |                2
 Bosco Pizzeria                                                  | boscopizzeria.co.uk                                                   |                2
 Coffee Collective                                               | coffeecollective.dk                                                   |                2
 Sumosan Twiga                                                   | sumosantwiga.com                                                      |                2
 Lobos                                                           | lobostapas.co.uk                                                      |                2
 Casa do Frango                                                  | casadofrango.co.uk                                                    |                2
 Martin's BBQ                                                    | martinsbbqpr.net                                                      |                2
 Hopper & Bean                                                   | hopperandbean.com                                                     |                2
 Foot Locker                                                     | stores.footlocker.dk                                                  |                2
 Lou Malnati's Pizzeria                                          | loumalnatis.com                                                       |                2
 Kiyoto Sushi                                                    | kiyotosushi.co.uk                                                     |                2
 Chicama                                                         | chicamalondon.com                                                     |                2
 Los Mochis                                                      | losmochis.co.uk                                                       |                2
 Mobile Phone Repair Doctor                                      | mobilephonerepairdoctor.co.uk                                         |                2
 Harrods                                                         | harrods.com                                                           |                2
 Zaap Thai Street Food                                           | zaapthai.co.uk                                                        |                2
 Kayal                                                           | kayalrestaurant.com                                                   |                2
 Marchesi 1824                                                   | pasticceriamarchesi.com                                               |                2
 Fortnum & Mason                                                 | fortnumandmason.com                                                   |                2
 The Espresso Room                                               | theespressoroom.london                                                |                2
 Panino Giusto                                                   | paninogiusto.it                                                       |                2
 Revolución de Cuba                                              | revoluciondecuba.com                                                  |                2
 Artist Residence                                                | artistresidence.co.uk                                                 |                2
 Browns                                                          | browns-restaurants.co.uk                                              |                2
 Boom Bap Burger                                                 | boombapburger.com                                                     |                2
 Yauatcha                                                        | yauatcha.com                                                          |                2
 Absurd Bird                                                     | absurdbird.com                                                        |                2
 Time Out Market                                                 | timeoutmarket.com                                                     |                2
 Sugar Factory                                                   | sugarfactory.com                                                      |                2
 Rick Stein                                                      | rickstein.com                                                         |                2
 Bunga Bunga                                                     | bungabunga.com                                                        |                2
 Ego                                                             | egorestaurants.co.uk                                                  |                2
 Wingstop                                                        | wingstop.co.uk                                                        |                2
 Bread Street Kitchen                                            | gordonramsayrestaurants.com                                           |                2
 Giordano's                                                      | giordanos.com                                                         |                2
 London Cocktail Club                                            | londoncocktailclub.co.uk                                              |                2
 Tortilla                                                        | tortilla.co.uk                                                        |                2
 Taverna del Marinaio                                            | tavernadelmarinaio.com                                                |                2
 Wingmans                                                        | wingmans.co.uk                                                        |                2
 BrewDog                                                         | brewdog.com                                                           |                2
 George's Great British Kitchen                                  | georgesgreatbritishkitchen.co.uk                                      |                2
 Atariya Foods                                                   | atariya.co.uk                                                         |                2
 Doughnut Time                                                   | doughnuttime.co.uk                                                    |                2
 Café Rouge                                                      | caferouge.co.uk                                                       |                2
 Soft Serve Society                                              | softservesociety.com                                                  |                2
 Omnino                                                          | omninorestaurants.com                                                 |                2
 Côte                                                            | cote.co.uk                                                            |                2
 Flax & Kale                                                     | flaxandkale.com                                                       |                2
 Banter NYC                                                      | banternyc.com                                                         |                2
 Hotbox                                                          | hotboxlondon.co.uk                                                    |                2
 Rabieng                                                         | rabiengthai.com                                                       |                2
 Toby Carvery                                                    | tobycarvery.co.uk                                                     |                2
 7Bone Burger Co.                                                | 7bone.co.uk                                                           |                2
 Taro                                                            | tarorestaurants.uk                                                    |                2
 Beam                                                            | cafebeam.co.uk                                                        |                2
 Brasserie Zédel                                                 | brasseriezedel.com                                                    |                2
 Prawn on the Lawn                                               | prawnonthelawn.com                                                    |                2
 Beso Beach                                                      | besobeach.com                                                         |                2
 The Leopard Inn                                                 | theleopardinn.co.uk                                                   |                2
 Burger & Beyond                                                 | burgerandbeyond.co.uk                                                 |                2
 Bánh Bánh                                                       | banhbanh.com                                                          |                2
 Vivat Bacchus                                                   | vivatbacchus.co.uk                                                    |                2
 The Five Fields                                                 | fivefieldsrestaurant.com                                              |                2
 The Mac Factory                                                 | themacfactory.co.uk                                                   |                2
 The Ampersand Hotel                                             | ampersandhotel.com                                                    |                2
 Black Tap                                                       | blacktapme.com                                                        |                2
 Dabbawal                                                        | dabbawal.com                                                          |                2
 Peggy Porschen                                                  | peggyporschen.com                                                     |                2
 Dirty Burger                                                    | eatdirtyburger.com                                                    |                2
 Kanishka                                                        | kanishkarestaurant.co.uk                                              |                2
 Bocconcino                                                      | bocconcinorestaurant.co.uk                                            |                2
 Estiatorio Milos                                                | estiatoriomilos.com                                                   |                2
 Banana Tree                                                     | bananatree.co.uk                                                      |                2
 San Carlo                                                       | sancarlo.co.uk                                                        |                2
 Lantana                                                         | lantanacafe.co.uk                                                     |                2
 Mexican Sugar                                                   | mexicansugarcocina.com                                                |                2
 The Spread Eagle                                                | thespreadeaglelondon.co.uk                                            |                2
 My Old Dutch                                                    | myolddutch.com                                                        |                2
 Fieldwork Brewing Company                                       | fieldworkbrewing.com                                                  |                2
 Melisi                                                          | melisi.co.uk                                                          |                2
 Saint Espresso                                                  | saintespresso.com                                                     |                2
 Tantrum Doughnuts                                               | tantrumdoughnuts.com                                                  |                2
 Fora                                                            | forarestaurants.co.uk                                                 |                2
 Hotel du Vin                                                    | hotelduvin.com                                                        |                2
 L'Antica Pizzeria                                               | anticapizzeria.co.uk                                                  |                2
 Milsoms                                                         | milsomhotels.com                                                      |                2
 Bar Azita                                                       | barazita.co.uk                                                        |                2
 Almost Famous                                                   | almostfamousburgers.com                                               |                2
