                              name                               |                                domain                                 | count_for_domain 
 Aviator Farnborough                                             | aviatorbytag.com                                                      |                1
 Tao Tao Ju                                                      | taotaoju.co.uk                                                        |                1
 Bouillon Pigalle                                                | bouillonpigalle.com                                                   |                1
 Sa Figuera                                                      | safiguerarestaurant.com                                               |                1
 Piecaramba!                                                     | piecaramba.co.uk                                                      |                1
 ONIMA                                                           | onimarestaurant.com                                                   |                1
 DO Sushi                                                        | dosushi.dk                                                            |                1
 Weslodge Saloon                                                 | weslodge.ae                                                           |                1
 Clancy's Restaurant                                             | clancysneworleans.com                                                 |                1
 Pita Lite                                                       | pitalite.com                                                          |                1
 Wine Vaults                                                     | winevaultsbeccles.co.uk                                               |                1
 Beach Hotel                                                     | beachhotel.com.au                                                     |                1
 Fiddie's                                                        | fiddiesitaliankitchen.com                                             |                1
 Blue Tit                                                        | bluetitlondon.com                                                     |                1
 Craft                                                           | craftrestaurant.com                                                   |                1
 L'Atelier de Joël Robuchon                                      | mgmgrand.mgmresorts.com                                               |                1
 Rights of Man                                                   | rightsofmanlewes.com                                                  |                1
 L’Avenue                                                        | m.saks.com                                                            |                1
 Mevan                                                           | mevanrestaurant.com                                                   |                1
 Restaurant No 61                                                | restaurant.no61.dk                                                    |                1
 The Victoria Dalston                                            | jaguarshoes.com                                                       |                1
 Greenberry                                                      | greenberrycafe.co.uk                                                  |                1
 Friska                                                          | friskafood.com                                                        |                1
 HonSan                                                          | honsan.no                                                             |                1
 The Barley Mow                                                  | thebarleymowcosgrove.co.uk                                            |                1
 KUSH                                                            | kushwynwood.com                                                       |                1
 The Banyan Tree                                                 | thebanyantree-uk.com                                                  |                1
 Koh Grill & Sushi Bar                                           | m.facebook.com                                                        |                1
 Craft                                                           | craftlosangeles.com                                                   |                1
 Terraza Cibeles                                                 | palaciodecibeles.com                                                  |                1
 Yes!                                                            | yeshostels.com                                                        |                1
 Churrería Laietana                                              | facebook.com                                                          |                1
 Grumpy's                                                        | grumpysleeds.co.uk                                                    |                1
 Brood                                                           | broodrestaurant.com                                                   |                1
 Soho Roc House                                                  | sohohouse.com                                                         |                1
 Harvest & Wisdom                                                | shangrilasprings.com                                                  |                1
 The Mayflower Hotel                                             | marriott.com                                                          |                1
 Red Rock Canyon                                                 | parks.ca.gov                                                          |                1
 El Gaucho                                                       | vn.elgaucho.asia                                                      |                1
 HowSt                                                           | howst.co.uk                                                           |                1
 Fishworks                                                       | fishworks.co.uk                                                       |                1
 Restaurant MINE                                                 | restaurantmine.co.uk                                                  |                1
 Momofuku                                                        | cosmopolitanlasvegas.com                                              |                1
 Cordoba                                                         | cordoba-foodbar.be                                                    |                1
 2 Fore Street Restaurant                                        | 2forestreet.co.uk                                                     |                1
 The Swan                                                        | thyme.co.uk                                                           |                1
 Lucknow 49                                                      | lucknowldn.com                                                        |                1
 Vagabond Wines                                                  | vagabondwines.co.uk                                                   |                1
 Colonie                                                         | colonienyc.com                                                        |                1
 Sunnyside Grill                                                 | sunnysidegrill.com                                                    |                1
 Flour to the People!                                            | flour2people.co.uk                                                    |                1
 Conservatorium Hotel                                            | conservatoriumhotel.com                                               |                1
 Vinny at six                                                    | vinnyatsix.com                                                        |                1
 Near & Far                                                      | nearandfarlondon.com                                                  |                1
 MOFU Shoppe                                                     | mofushoppe.com                                                        |                1
 Degree 18 Juice Bar                                             | degree18juice.com                                                     |                1
 The Whelk                                                       | thewhelkwestport.com                                                  |                1
 Aqua Food & Mood Lebanese Restaurant                            | aqua-food-mood.co.uk                                                  |                1
 The Clarence                                                    | theclarencewhitehall.com                                              |                1
 OAK                                                             | oakrestaurant.co.uk                                                   |                1
 The Jones Family Kitchen                                        | jonesfamilykitchen.co.uk                                              |                1
 Veyso’s Brasserie                                               | veysos.co.uk                                                          |                1
 Neos                                                            | addresshotels.com                                                     |                1
 Coppola                                                         | coppolaonline.com                                                     |                1
 Sushi Mentai                                                    | sushi-mentai.com                                                      |                1
 Seebad Luzern                                                   | seebadluzern.ch                                                       |                1
 Vita Ristorante                                                 | vitaristorante.co.uk                                                  |                1
 Son of a Bun                                                    | sonofabun.ie                                                          |                1
 The Barley Mow Inn                                              | thebarleymowinn.co.uk                                                 |                1
 Saona                                                           | gruposaona.com                                                        |                1
 The Lime Tree Inn                                               | limetreewhetstone.co.uk                                               |                1
 La Regata                                                       | laregata.co.uk                                                        |                1
 The Old Post Office                                             | facebook.com                                                          |                1
 John Lewis & Partners                                           | johnlewis.com                                                         |                1
 Commune                                                         | commune.ph                                                            |                1
 Harbourmaster Bar and Restaurant                                | harbourmaster.ie                                                      |                1
 Coupette                                                        | coupette.co.uk                                                        |                1
 KYU                                                             | kyurestaurants.com                                                    |                1
 The Chilli Pickle                                               | thechillipickle.com                                                   |                1
 Raffles Chelsea                                                 | raffleschelsea.com                                                    |                1
 Osteria Due Amici                                               | odaessex.co.uk                                                        |                1
 Aquavit Guest House                                             | aquavit.co.za                                                         |                1
 Masala                                                          | restaurantemasala.pt                                                  |                1
 Restaurant Picco                                                | restaurantpicco.com                                                   |                1
 1921                                                            | nineteen-twentyone.co.uk                                              |                1
 Melt                                                            | facebook.com                                                          |                1
 Angela's                                                        | angelasofmargate.com                                                  |                1
 Le Pont de la Tour                                              | lepontdelatour.co.uk                                                  |                1
 Crystal Restaurant                                              | crystal-restaurant.co.uk                                              |                1
 Whitecross Street Market                                        | bitecross.co.uk                                                       |                1
 Flame & Fire                                                    | flameandfire.co.uk                                                    |                1
 The Red Cow                                                     | theredcowharpenden.com                                                |                1
 Gordon Ramsay Fish & Chips                                      | gordonramsayrestaurants.com                                           |                1
 Mama Fox                                                        | mamafoxbk.com                                                         |                1
 Taberna del Volapié                                             | tabernadelvolapie.com                                                 |                1
 Tim Wendelboe                                                   | timwendelboe.no                                                       |                1
 The Green Man at Lindsell                                       | greenmanlindsell.co.uk                                                |                1
 Amici Miei                                                      | amici-miei.com                                                        |                1
 Havet                                                           | havetrestaurant.com                                                   |                1
 Purl London                                                     | purl-london.com                                                       |                1
 Yield N16                                                       | yieldn16.com                                                          |                1
 Oslo Hackney                                                    | oslohackney.com                                                       |                1
 Blue Cave                                                       | bluecavecroatia.hr                                                    |                1
 Sage                                                            | sagememphis.com                                                       |                1
 The Ivy Temple Row                                              | theivybirmingham.com                                                  |                1
 Four Wise Monkeys                                               | fourwisemonkeysbristol.com                                            |                1
 Ciro Passami L'olio                                             | ciropassamilolio.nl                                                   |                1
 Flipper Y Chiller S.L.                                          | flipperandchiller.com                                                 |                1
 Sloppy Joe's                                                    | sloppyjoes.com                                                        |                1
 The Little French Restaurant                                    | thelittlefrenchrestaurant.com                                         |                1
 Bistrotheque                                                    | bistrotheque.com                                                      |                1
 Pressure Drop Brewery and Taproom                               | pressuredropbrewing.co.uk                                             |                1
 Lunch-box                                                       | lunch-box.be                                                          |                1
 Five Elephant Mitte                                             | fiveelephant.com                                                      |                1
 The Cap                                                         | thecapharleston.co.uk                                                 |                1
 Sanguich De Miami                                               | sanguich.com                                                          |                1
 El Gordito                                                      | eltaquero.pl                                                          |                1
 Soho Beach House                                                | sohohouse.com                                                         |                1
 The Woolpack Inn                                                | woolpackinnwarehorne.com                                              |                1
 Laghi's Deli                                                    | laghis.com                                                            |                1
 XU Teahouse & Restaurant                                        | xulondon.com                                                          |                1
 Sushi Shop                                                      | mysushishop.co.uk                                                     |                1
 The Angel                                                       | angelpubsudbury.co.uk                                                 |                1
 The Mount Inn                                                   | themountinn.co.uk                                                     |                1
 Zesty Saloon                                                    | instagram.com                                                         |                1
 Lock and Key Hotel                                              | lockandkeyhotels.com                                                  |                1
 Portobello Star                                                 | portobellostarbar.co.uk                                               |                1
 Factory House                                                   | factoryhouse.ca                                                       |                1
 Back to Black.                                                  | backtoblackcoffee.nl                                                  |                1
 TILA                                                            | tiladeptford.com                                                      |                1
 Pasta Brown                                                     | pastabrown.com                                                        |                1
 Flor                                                            | florlondon.com                                                        |                1
 The Aviary NYC                                                  | aviarynyc.com                                                         |                1
 Pamson Grill                                                    | pamsongrill.co.uk                                                     |                1
 The Old Market Tavern                                           | the-old-market-tavern.business.site                                   |                1
 Barnsdale Hall Hotel                                            | barnsdalehotel.co.uk                                                  |                1
 Histon Smokehouse                                               | histonsmokehouse.co.uk                                                |                1
 José Pizarro                                                    | josepizarro.com                                                       |                1
 Bæst                                                            | baest.dk                                                              |                1
 Van Buren Room                                                  | vanburenroom.com                                                      |                1
 Wyatt and Jones                                                 | wyattandjones.co.uk                                                   |                1
 Pie Shed                                                        | thepieshedyorkshire.co.uk                                             |                1
 L.E.J. Hair Gallery                                             | lejhairgallery.co.uk                                                  |                1
 Sloane Place Restaurant & Bar                                   | sloaneplace.com                                                       |                1
 The Crown                                                       | crownastonend.co.uk                                                   |                1
 Hemingway Gin & Cocktail Bar                                    | hemingwaybcn.com                                                      |                1
 The Squire Inn                                                  | thesquireinn.co.uk                                                    |                1
 OREN                                                            | orenlondon.com                                                        |                1
 Orange Pekoe                                                    | orangepekoeteas.com                                                   |                1
 Seven Dials Market                                              | sevendialsmarket.com                                                  |                1
 The Buff                                                        | buffrestaurant.com                                                    |                1
 Rupert Street Bar                                               | rupert-street.com                                                     |                1
 Dandy                                                           | dandycph.com                                                          |                1
 John's House                                                    | johnshouse.co.uk                                                      |                1
 Sushiology                                                      | sushiology.co.uk                                                      |                1
 The Hind's Head                                                 | hindsheadbray.com                                                     |                1
 The Wheatsheaf Inn                                              | cotswoldswheatsheaf.com                                               |                1
 Bicester Village                                                | bicestervillage.com                                                   |                1
 Lemongrass                                                      | lgbrentwood.co.uk                                                     |                1
 Netil 360                                                       | netil360.com                                                          |                1
 Lawrance's Bakery                                               | lawrancesbakery.co.uk                                                 |                1
 Time Out Market Miami                                           | timeoutmarket.com                                                     |                1
 Zumbura                                                         | zumbura.com                                                           |                1
 The Set                                                         | thesetrestaurant.com                                                  |                1
 Sushi Nakazawa                                                  | sushinakazawa.com                                                     |                1
 Sofitel London                                                  | all.accor.com                                                         |                1
 Moroccan Taste                                                  | moroccantaste.com.sa                                                  |                1
 The Crown & Anchor                                              | thecrownandanchornw1.co.uk                                            |                1
 215 Kitchen & Drinks                                            | twoonefive.co.uk                                                      |                1
 Jane's Enchanted Tea Garden                                     | janes-cream-teas.moonfruit.com                                        |                1
 North Bar and Kitchen                                           | northbarandkitchen.co.uk                                              |                1
 Fika                                                            | fikakingsbridge.com                                                   |                1
 The Lamb                                                        | thelambchiswick.co.uk                                                 |                1
 Carousel Shopping Center                                        | carousel.com.tr                                                       |                1
 Belzan                                                          | belzan.co.uk                                                          |                1
 The Walmer Castle                                               | walmercastlenottinghill.co.uk                                         |                1
 Enso Sushi & Grill                                              | enso-stuttgart.de                                                     |                1
 The Exploding Bakery                                            | explodingbakery.com                                                   |                1
 Windhill Pancake Parlor                                         | windhillpancakeparlor.com                                             |                1
 Bar do Adão                                                     | bardoadao.com.br                                                      |                1
 Desi Indian Dining Club                                         | desiindianrestaurant.com                                              |                1
 Gokyuzu Restaurant Finchley                                     | gokyuzurestaurant.co.uk                                               |                1
 Aziz                                                            | aziz.uk.com                                                           |                1
 Crosstown Broadway Market - Doughnut Stall                      | crosstowndoughnuts.com                                                |                1
 Ladurée Restaurant                                              | laduree.ae                                                            |                1
 Pension U Bernardýna                                            | penzionubernardyna.cz                                                 |                1
 Pinkberry                                                       | pinkberrylondon.co.uk                                                 |                1
 The Pasta Bowl                                                  | pastabowl.com                                                         |                1
 Caistor Lakes                                                   | Caistor Lakes Leisure Park and Restaurant                             |                1
 Jumbo Seafood                                                   | jumboseafood.com.sg                                                   |                1
 The Berkeley Bar & Terrace                                      | the-berkeley.co.uk                                                    |                1
 Arts Theatre Club                                               | theartstheatreclub.com                                                |                1
 Kiln                                                            | kilnsoho.com                                                          |                1
 La Hogue                                                        | lahogue.co.uk                                                         |                1
 Sette                                                           | settelondon.co.uk                                                     |                1
 The Regent                                                      | theregentbalham.co.uk                                                 |                1
 Hayward Gallery                                                 | southbankcentre.co.uk                                                 |                1
 Seafire                                                         | atlantis.com                                                          |                1
 The Lord Tredegar                                               | thelordtredegar.co.uk                                                 |                1
 Platform Tavern                                                 | platformtavern.com                                                    |                1
 Tombo                                                           | tombodeliandcafe.com                                                  |                1
 The Elder Press Cafe                                            | theelderpress.co.uk                                                   |                1
 La Buvette                                                      | labuvette.paris                                                       |                1
 i Fratelli                                                      | cafemondo.co.uk                                                       |                1
 PS.Cafe                                                         | pscafe.com                                                            |                1
 Cafezique                                                       | cafezique.pt                                                          |                1
 Souk Al Bahar                                                   | soukalbahar.ae                                                        |                1
 N1 Bar                                                          | n1bar.com                                                             |                1
 The Blind Pig                                                   | socialeatinghouse.com                                                 |                1
 Two Hands                                                       | twohandsnyc.com                                                       |                1
 Santini                                                         | santini.pt                                                            |                1
 Line Brew Astana                                                | facebook.com                                                          |                1
 The Gladstone Arms                                              | thegladstonearms.co.uk                                                |                1
 Terme Neroniane                                                 | neroniane.it                                                          |                1
 El Guaca                                                        | elguaca.co.uk                                                         |                1
 Shake Shack                                                     | shakeshack.co.uk                                                      |                1
 Allpress Espresso Bar                                           | uk.allpressespresso.com                                               |                1
 Santceloni                                                      | restaurantesantceloni.com                                             |                1
 St Ives Campsite                                                | stivesfarm.co.uk                                                      |                1
 The Bell Inn                                                    | thebelllangford.com                                                   |                1
 Frequency                                                       | frequencycoffee.com                                                   |                1
 Amok Sunset                                                     | amoksunset.com                                                        |                1
 The Kitchen                                                     | thekitchenwalthamstow.com                                             |                1
 Raffles Singapore                                               | raffles.com                                                           |                1
 Garcia's Seafood Grille and Fishmarket                          | garciasmiami.com                                                      |                1
 Petit Palais                                                    | petitpalais.paris.fr                                                  |                1
 Union Café                                                      | unioncafe.ie                                                          |                1
 Kinjo                                                           | kinjo.co.th                                                           |                1
 White Pine                                                      | white-pine.co.uk                                                      |                1
 Isla                                                            | islalondon.com                                                        |                1
 Digbeth Dining Club                                             | digbethdiningclub.co.uk                                               |                1
 The Cock Inn                                                    | thecockinncockfosters.co.uk                                           |                1
 Lebaneat                                                        | lebaneat.co.uk                                                        |                1
 The White Hart                                                  | whitehartwelwyn.co.uk                                                 |                1
 Bianchis                                                        | bianchisrestaurant.co.uk                                              |                1
 Avocado Garden                                                  | avocadogarden.co.uk                                                   |                1
 Bonehead                                                        | boneheaduk.com                                                        |                1
 The Fisherman's Kitchen                                         | thefishermanskitchen.co.uk                                            |                1
 Daddi's Pizza                                                   | daddispizza.com                                                       |                1
 La Casita                                                       | lacasitacarbisbay.co.uk                                               |                1
 Caffe Abbracci                                                  | caffeabbracci.com                                                     |                1
 Shellfish Cow Restaurant & Bar                                  | shellfishcow.co.uk                                                    |                1
 FIive Palm Jumeirah Hotel                                       | fivehotelsandresorts.com                                              |                1
 Pilpel                                                          | pilpel.co.uk                                                          |                1
 Two Brewers                                                     | greeneking-pubs.co.uk                                                 |                1
 Cafe Cambrinus                                                  | bierbrasseriecambrinus.eu                                             |                1
 Le Saint-Cyr                                                    | lesaintcyr.fr                                                         |                1
 OH ME OH MY                                                     | ohmeohmyliverpool.co.uk                                               |                1
 The American Book Center                                        | abc.nl                                                                |                1
 Zuaya                                                           | zuaya.co.uk                                                           |                1
 Salt shed                                                       | salt-shed.co.uk                                                       |                1
 Mercado Ferreira Borges                                         | visitporto.travel                                                     |                1
 The Gate Inn                                                    | thegate-saffronwalden.co.uk                                           |                1
 Chateau Motel                                                   | chateaumotel.dk                                                       |                1
 Mosimann's                                                      | mosimann.com                                                          |                1
 Plough & Fleece                                                 | ploughandfleece.com                                                   |                1
 Royal Opera House                                               | roh.org.uk                                                            |                1
 The Royal Oak                                                   | theroyaloaktwickenham.co.uk                                           |                1
 Delphin Imperial Hotel                                          | delphinhotel.com                                                      |                1
 The Clock N8                                                    | theclockn8.com                                                        |                1
 Juliets Quality Foods                                           | juliets.london                                                        |                1
 Greenhouse // Hello Park                                        | cincolounge.com                                                       |                1
 Reads                                                           | reads.com                                                             |                1
 Exantas Restaurant                                              | megaliammos.gr                                                        |                1
 Studio 338                                                      | studio338.co.uk                                                       |                1
 Miller and Carter Steakhouse                                    | millerandcarter.co.uk                                                 |                1
 Braise                                                          | braisewillowglen.com                                                  |                1
 The Betjeman Arms                                               | thebetjemanarms.co.uk                                                 |                1
 Hotel Il Pino                                                   | hotelilpino.it                                                        |                1
 ZETA Seventy Seven                                              | addresshotels.com                                                     |                1
 Bluestone Lane                                                  | bluestonelane.com                                                     |                1
 Caruso                                                          | ristorantecaruso.co.uk                                                |                1
 Lavomatique                                                     | lavomatique-restaurant.business.site                                  |                1
 Lisboeta                                                        | lisboeta.co.uk                                                        |                1
 Whitechapel Gallery                                             | whitechapelgallery.org                                                |                1
 Nuad Thai Boran                                                 | nuadthaiboran.co.uk                                                   |                1
 Bodza Bistro                                                    | bodzabistro.hu                                                        |                1
 Talormade                                                       | talormade.no                                                          |                1
 Flannery's Bar                                                  | flannerys-bar.business.site                                           |                1
 Noizé                                                           | noize-restaurant.co.uk                                                |                1
 Sa Capella                                                      | welcometoibiza.com                                                    |                1
 Restaurant Blink                                                | restaurantblink.be                                                    |                1
 The Moniker                                                     | drakeandmorgan.co.uk                                                  |                1
 The Sterling                                                    | thesterlingbar.co.uk                                                  |                1
 Holy Shot Coffee                                                | holyshotcoffee.com                                                    |                1
 Beast                                                           | beastrestaurant.com                                                   |                1
 Ernst                                                           | ernstberlin.de                                                        |                1
 Sturehof                                                        | sturehof.com                                                          |                1
 Knaus Berry Farm                                                | knausberryfarm.com                                                    |                1
